"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"26741",1,28,"spillover2","tt",80,"spillover2 tt",8,0,751,751,-0.5,0.5,751
"26743",1,46,"spillover2","tt",80,"spillover2 tt",6,0,1159,1159,-0.5,-0.5,1159
"26745",1,40,"spillover2","tt",80,"spillover2 tt",8,0,716,716,-0.5,0.5,716
"26747",1,25,"spillover2","tt",80,"spillover2 tt",5,0,1119,1119,0.5,-0.5,1119
"26749",1,42,"spillover2","tt",80,"spillover2 tt",6,0,544,544,-0.5,-0.5,544
"26751",1,37,"spillover2","tt",80,"spillover2 tt",5,0,934,934,0.5,-0.5,934
"26753",1,26,"spillover2","tt",80,"spillover2 tt",6,0,639,639,-0.5,-0.5,639
"26755",1,30,"spillover2","tt",80,"spillover2 tt",6,0,657,657,-0.5,-0.5,657
"26757",1,32,"spillover2","tt",80,"spillover2 tt",8,0,581,581,-0.5,0.5,581
"26759",1,31,"spillover2","tt",80,"spillover2 tt",7,0,644,644,0.5,0.5,644
"26761",1,47,"spillover2","tt",80,"spillover2 tt",7,0,1126,1126,0.5,0.5,1126
"26763",1,44,"spillover2","tt",80,"spillover2 tt",8,0,977,977,-0.5,0.5,977
"26765",1,27,"spillover2","tt",80,"spillover2 tt",7,0,728,728,0.5,0.5,728
"26767",1,33,"spillover2","tt",80,"spillover2 tt",5,0,697,697,0.5,-0.5,697
"26769",1,45,"spillover2","tt",80,"spillover2 tt",5,0,1066,1066,0.5,-0.5,1066
"26771",1,34,"spillover2","tt",80,"spillover2 tt",6,0,821,821,-0.5,-0.5,821
"26773",1,35,"spillover2","tt",80,"spillover2 tt",7,0,1069,1069,0.5,0.5,1069
"26775",1,29,"spillover2","tt",80,"spillover2 tt",5,0,2011,2011,0.5,-0.5,2011
"26777",1,41,"spillover2","tt",80,"spillover2 tt",5,0,499,499,0.5,-0.5,499
"26779",1,38,"spillover2","tt",80,"spillover2 tt",6,0,486,486,-0.5,-0.5,486
"26781",1,43,"spillover2","tt",80,"spillover2 tt",7,0,368,368,0.5,0.5,368
"26783",1,39,"spillover2","tt",80,"spillover2 tt",7,0,1300,1300,0.5,0.5,1300
"26785",1,48,"spillover2","tt",80,"spillover2 tt",8,0,456,456,-0.5,0.5,456
"26787",1,36,"spillover2","tt",80,"spillover2 tt",8,0,793,793,-0.5,0.5,793
"26789",2,32,"spillover2","tt",80,"spillover2 tt",5,0,1740,1740,0.5,-0.5,1740
"26791",2,48,"spillover2","tt",80,"spillover2 tt",5,0,976,976,0.5,-0.5,976
"26793",2,40,"spillover2","tt",80,"spillover2 tt",5,0,798,798,0.5,-0.5,798
"26795",2,28,"spillover2","tt",80,"spillover2 tt",5,0,425,425,0.5,-0.5,425
