"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"19102",1,18,"disamb","tt",63,"disamb tt",2,0,468,468,0.5,0.5,468
"19104",1,15,"disamb","tt",63,"disamb tt",3,0,593,593,-0.5,-0.5,593
"19106",1,1,"disamb","tt",63,"disamb tt",1,0,1133,1133,0.5,-0.5,1133
"19108",1,6,"disamb","tt",63,"disamb tt",2,0,973,973,0.5,0.5,973
"19110",1,3,"disamb","tt",63,"disamb tt",3,0,606,606,-0.5,-0.5,606
"19112",1,14,"disamb","tt",63,"disamb tt",2,0,371,371,0.5,0.5,371
"19114",1,4,"disamb","tt",63,"disamb tt",4,0,206,206,-0.5,0.5,206
"19116",1,17,"disamb","tt",63,"disamb tt",1,1,0,NA,0.5,-0.5,NA
"19118",1,5,"disamb","tt",63,"disamb tt",1,1,0,NA,0.5,-0.5,NA
"19120",1,13,"disamb","tt",63,"disamb tt",1,0,739,739,0.5,-0.5,739
"19122",1,22,"disamb","tt",63,"disamb tt",2,0,519,519,0.5,0.5,519
"19124",1,8,"disamb","tt",63,"disamb tt",4,0,867,867,-0.5,0.5,867
"19126",1,9,"disamb","tt",63,"disamb tt",1,0,368,368,0.5,-0.5,368
"19128",1,19,"disamb","tt",63,"disamb tt",3,0,203,203,-0.5,-0.5,203
"19130",1,24,"disamb","tt",63,"disamb tt",4,0,397,397,-0.5,0.5,397
"19132",1,12,"disamb","tt",63,"disamb tt",4,0,1026,1026,-0.5,0.5,1026
"19134",1,20,"disamb","tt",63,"disamb tt",4,0,477,477,-0.5,0.5,477
"19136",1,10,"disamb","tt",63,"disamb tt",2,0,156,156,0.5,0.5,156
"19138",1,11,"disamb","tt",63,"disamb tt",3,0,491,491,-0.5,-0.5,491
"19140",1,16,"disamb","tt",63,"disamb tt",4,0,902,902,-0.5,0.5,902
"19142",1,7,"disamb","tt",63,"disamb tt",3,0,925,925,-0.5,-0.5,925
"19144",1,2,"disamb","tt",63,"disamb tt",2,0,1210,1210,0.5,0.5,1210
"19146",1,21,"disamb","tt",63,"disamb tt",1,0,196,196,0.5,-0.5,196
"19148",1,23,"disamb","tt",63,"disamb tt",3,0,633,633,-0.5,-0.5,633
"19150",2,16,"disamb","tt",63,"disamb tt",1,0,900,900,0.5,-0.5,900
"19152",2,4,"disamb","tt",63,"disamb tt",1,0,2536,2536,0.5,-0.5,NA
"19154",2,2,"disamb","tt",63,"disamb tt",3,0,877,877,-0.5,-0.5,877
"19156",2,13,"disamb","tt",63,"disamb tt",2,0,1035,1035,0.5,0.5,1035
"19158",2,19,"disamb","tt",63,"disamb tt",4,0,1130,1130,-0.5,0.5,1130
"19160",2,12,"disamb","tt",63,"disamb tt",1,0,232,232,0.5,-0.5,232
"19162",2,10,"disamb","tt",63,"disamb tt",3,0,747,747,-0.5,-0.5,747
"19164",2,3,"disamb","tt",63,"disamb tt",4,0,814,814,-0.5,0.5,814
"19166",2,9,"disamb","tt",63,"disamb tt",2,0,882,882,0.5,0.5,882
"19168",2,21,"disamb","tt",63,"disamb tt",2,0,229,229,0.5,0.5,229
"19170",2,15,"disamb","tt",63,"disamb tt",4,0,501,501,-0.5,0.5,501
"19172",2,18,"disamb","tt",63,"disamb tt",3,0,264,264,-0.5,-0.5,264
"19174",2,6,"disamb","tt",63,"disamb tt",3,0,705,705,-0.5,-0.5,705
"19176",2,5,"disamb","tt",63,"disamb tt",2,0,154,154,0.5,0.5,154
"19178",2,14,"disamb","tt",63,"disamb tt",3,0,576,576,-0.5,-0.5,576
"19180",2,1,"disamb","tt",63,"disamb tt",2,0,317,317,0.5,0.5,317
"19182",2,20,"disamb","tt",63,"disamb tt",1,0,449,449,0.5,-0.5,449
"19184",2,11,"disamb","tt",63,"disamb tt",4,0,210,210,-0.5,0.5,210
"19186",2,7,"disamb","tt",63,"disamb tt",4,0,464,464,-0.5,0.5,464
"19188",2,23,"disamb","tt",63,"disamb tt",4,0,405,405,-0.5,0.5,405
"19190",2,8,"disamb","tt",63,"disamb tt",1,0,362,362,0.5,-0.5,362
"19192",2,17,"disamb","tt",63,"disamb tt",2,0,378,378,0.5,0.5,378
"19194",2,24,"disamb","tt",63,"disamb tt",1,0,241,241,0.5,-0.5,241
"19196",2,22,"disamb","tt",63,"disamb tt",3,0,234,234,-0.5,-0.5,234
"19198",3,18,"disamb","tt",63,"disamb tt",4,0,1044,1044,-0.5,0.5,1044
"19200",3,7,"disamb","tt",63,"disamb tt",1,0,1879,1879,0.5,-0.5,1879
"19202",3,16,"disamb","tt",63,"disamb tt",2,0,1803,1803,0.5,0.5,1803
"19204",3,5,"disamb","tt",63,"disamb tt",3,0,839,839,-0.5,-0.5,839
"19206",3,24,"disamb","tt",63,"disamb tt",2,0,1946,1946,0.5,0.5,1946
"19208",3,4,"disamb","tt",63,"disamb tt",2,0,2104,2104,0.5,0.5,2104
"19210",3,14,"disamb","tt",63,"disamb tt",4,0,1584,1584,-0.5,0.5,1584
"19212",3,1,"disamb","tt",63,"disamb tt",3,0,962,962,-0.5,-0.5,962
"19214",3,9,"disamb","tt",63,"disamb tt",3,0,1161,1161,-0.5,-0.5,1161
"19216",3,22,"disamb","tt",63,"disamb tt",4,0,520,520,-0.5,0.5,520
"19218",3,10,"disamb","tt",63,"disamb tt",4,0,205,205,-0.5,0.5,205
"19220",3,6,"disamb","tt",63,"disamb tt",4,0,1439,1439,-0.5,0.5,1439
"19222",3,23,"disamb","tt",63,"disamb tt",1,0,986,986,0.5,-0.5,986
"19224",3,17,"disamb","tt",63,"disamb tt",3,0,286,286,-0.5,-0.5,286
"19226",3,19,"disamb","tt",63,"disamb tt",1,0,828,828,0.5,-0.5,828
"19228",3,13,"disamb","tt",63,"disamb tt",3,0,558,558,-0.5,-0.5,558
"19230",3,20,"disamb","tt",63,"disamb tt",2,0,756,756,0.5,0.5,756
"19232",3,11,"disamb","tt",63,"disamb tt",1,0,302,302,0.5,-0.5,302
"19234",3,2,"disamb","tt",63,"disamb tt",4,0,383,383,-0.5,0.5,383
"19236",3,12,"disamb","tt",63,"disamb tt",2,0,716,716,0.5,0.5,716
"19238",3,21,"disamb","tt",63,"disamb tt",3,0,397,397,-0.5,-0.5,397
"19240",3,15,"disamb","tt",63,"disamb tt",1,0,915,915,0.5,-0.5,915
"19242",3,8,"disamb","tt",63,"disamb tt",2,0,391,391,0.5,0.5,391
"19244",3,3,"disamb","tt",63,"disamb tt",1,0,1135,1135,0.5,-0.5,1135
"19246",4,7,"disamb","tt",63,"disamb tt",2,0,3222,3222,0.5,0.5,NA
"19248",4,8,"disamb","tt",63,"disamb tt",3,0,282,282,-0.5,-0.5,282
"19250",4,11,"disamb","tt",63,"disamb tt",2,0,729,729,0.5,0.5,729
"19252",4,22,"disamb","tt",63,"disamb tt",1,0,1071,1071,0.5,-0.5,1071
"19254",4,1,"disamb","tt",63,"disamb tt",4,0,628,628,-0.5,0.5,628
"19256",4,20,"disamb","tt",63,"disamb tt",3,0,839,839,-0.5,-0.5,839
"19258",4,23,"disamb","tt",63,"disamb tt",2,0,282,282,0.5,0.5,282
"19260",4,3,"disamb","tt",63,"disamb tt",2,0,1124,1124,0.5,0.5,1124
"19263",4,19,"disamb","tt",63,"disamb tt",2,0,262,262,0.5,0.5,262
"19265",4,13,"disamb","tt",63,"disamb tt",4,0,224,224,-0.5,0.5,224
"19267",4,9,"disamb","tt",63,"disamb tt",4,0,1408,1408,-0.5,0.5,1408
"19269",4,2,"disamb","tt",63,"disamb tt",1,0,852,852,0.5,-0.5,852
"19272",4,4,"disamb","tt",63,"disamb tt",3,0,479,479,-0.5,-0.5,479
"19274",4,12,"disamb","tt",63,"disamb tt",3,0,488,488,-0.5,-0.5,488
"19276",4,16,"disamb","tt",63,"disamb tt",3,0,400,400,-0.5,-0.5,400
"19279",4,18,"disamb","tt",63,"disamb tt",1,0,325,325,0.5,-0.5,325
"19281",4,24,"disamb","tt",63,"disamb tt",3,0,293,293,-0.5,-0.5,293
"19283",4,6,"disamb","tt",63,"disamb tt",1,0,369,369,0.5,-0.5,369
"19285",4,17,"disamb","tt",63,"disamb tt",4,0,263,263,-0.5,0.5,263
"19288",4,14,"disamb","tt",63,"disamb tt",1,0,613,613,0.5,-0.5,613
"19289",5,13,"disamb","tt",63,"disamb tt",1,0,288,288,0.5,-0.5,288
"19291",5,4,"disamb","tt",63,"disamb tt",4,0,502,502,-0.5,0.5,502
"19293",5,9,"disamb","tt",63,"disamb tt",1,0,289,289,0.5,-0.5,289
"19295",5,8,"disamb","tt",63,"disamb tt",4,0,825,825,-0.5,0.5,825
"19297",5,7,"disamb","tt",63,"disamb tt",3,0,481,481,-0.5,-0.5,481
"19299",5,16,"disamb","tt",63,"disamb tt",4,0,700,700,-0.5,0.5,700
"19301",5,19,"disamb","tt",63,"disamb tt",3,0,1604,1604,-0.5,-0.5,1604
"19303",5,17,"disamb","tt",63,"disamb tt",1,0,940,940,0.5,-0.5,940
"19305",5,3,"disamb","tt",63,"disamb tt",3,0,1128,1128,-0.5,-0.5,1128
"19307",5,14,"disamb","tt",85,"disamb tt",2,0,901,901,0.5,0.5,901
"19309",5,1,"disamb","tt",85,"disamb tt",1,0,522,522,0.5,-0.5,522
"19311",5,15,"disamb","tt",85,"disamb tt",3,0,279,279,-0.5,-0.5,279
"19313",5,22,"disamb","tt",85,"disamb tt",2,1,0,NA,0.5,0.5,NA
"19315",5,18,"disamb","tt",85,"disamb tt",2,0,414,414,0.5,0.5,414
"19317",5,5,"disamb","tt",85,"disamb tt",1,0,805,805,0.5,-0.5,805
"19319",5,2,"disamb","tt",85,"disamb tt",2,0,989,989,0.5,0.5,989
"19321",5,23,"disamb","tt",85,"disamb tt",3,0,684,684,-0.5,-0.5,684
"19323",5,21,"disamb","tt",85,"disamb tt",1,0,1138,1138,0.5,-0.5,1138
"19325",5,20,"disamb","tt",85,"disamb tt",4,0,783,783,-0.5,0.5,783
"19327",5,10,"disamb","tt",85,"disamb tt",2,0,332,332,0.5,0.5,332
"19329",5,12,"disamb","tt",85,"disamb tt",4,0,405,405,-0.5,0.5,405
"19331",5,11,"disamb","tt",85,"disamb tt",3,0,873,873,-0.5,-0.5,873
"19333",5,24,"disamb","tt",85,"disamb tt",4,0,363,363,-0.5,0.5,363
"19335",5,6,"disamb","tt",85,"disamb tt",2,0,443,443,0.5,0.5,443
"19338",6,4,"disamb","tt",85,"disamb tt",1,0,589,589,0.5,-0.5,589
"19340",6,23,"disamb","tt",85,"disamb tt",4,0,755,755,-0.5,0.5,755
"19342",6,12,"disamb","tt",85,"disamb tt",1,0,1685,1685,0.5,-0.5,1685
"19344",6,19,"disamb","tt",85,"disamb tt",4,0,1563,1563,-0.5,0.5,1563
"19346",6,21,"disamb","tt",85,"disamb tt",2,0,4424,4424,0.5,0.5,NA
"19348",6,9,"disamb","tt",85,"disamb tt",2,0,868,868,0.5,0.5,868
"19350",6,3,"disamb","tt",85,"disamb tt",4,0,1244,1244,-0.5,0.5,1244
"19352",6,1,"disamb","tt",85,"disamb tt",2,0,1646,1646,0.5,0.5,1646
"19354",6,6,"disamb","tt",85,"disamb tt",3,0,1062,1062,-0.5,-0.5,1062
"19356",6,14,"disamb","tt",85,"disamb tt",3,0,176,176,-0.5,-0.5,176
"19358",6,7,"disamb","tt",85,"disamb tt",4,0,375,375,-0.5,0.5,375
"19360",6,8,"disamb","tt",85,"disamb tt",1,0,650,650,0.5,-0.5,650
"19362",6,18,"disamb","tt",85,"disamb tt",3,0,429,429,-0.5,-0.5,429
"19364",6,24,"disamb","tt",85,"disamb tt",1,0,347,347,0.5,-0.5,347
"19366",6,15,"disamb","tt",85,"disamb tt",4,0,1137,1137,-0.5,0.5,1137
"19368",6,10,"disamb","tt",85,"disamb tt",3,0,547,547,-0.5,-0.5,547
"19370",6,16,"disamb","tt",85,"disamb tt",1,0,834,834,0.5,-0.5,834
"19372",6,13,"disamb","tt",85,"disamb tt",2,0,862,862,0.5,0.5,862
"19374",6,17,"disamb","tt",85,"disamb tt",2,0,303,303,0.5,0.5,303
"19376",6,22,"disamb","tt",85,"disamb tt",3,0,660,660,-0.5,-0.5,660
"19378",6,20,"disamb","tt",85,"disamb tt",1,0,605,605,0.5,-0.5,605
"19380",6,5,"disamb","tt",85,"disamb tt",2,0,1614,1614,0.5,0.5,1614
"19382",6,11,"disamb","tt",85,"disamb tt",4,0,1462,1462,-0.5,0.5,1462
"19384",6,2,"disamb","tt",85,"disamb tt",3,0,241,241,-0.5,-0.5,241
"19386",7,20,"disamb","tt",85,"disamb tt",2,0,964,964,0.5,0.5,964
"19388",7,4,"disamb","tt",85,"disamb tt",2,0,578,578,0.5,0.5,578
"19390",7,14,"disamb","tt",85,"disamb tt",4,0,242,242,-0.5,0.5,242
"19392",7,24,"disamb","tt",85,"disamb tt",2,0,145,145,0.5,0.5,145
"19394",7,8,"disamb","tt",85,"disamb tt",2,0,326,326,0.5,0.5,326
"19396",7,21,"disamb","tt",85,"disamb tt",3,0,325,325,-0.5,-0.5,325
"19398",7,18,"disamb","tt",85,"disamb tt",4,0,393,393,-0.5,0.5,393
"19400",7,5,"disamb","tt",85,"disamb tt",3,0,165,165,-0.5,-0.5,165
"19402",7,1,"disamb","tt",85,"disamb tt",3,0,313,313,-0.5,-0.5,313
"19404",7,19,"disamb","tt",85,"disamb tt",1,0,431,431,0.5,-0.5,431
"19406",7,16,"disamb","tt",85,"disamb tt",2,0,677,677,0.5,0.5,677
"19408",7,15,"disamb","tt",85,"disamb tt",1,0,300,300,0.5,-0.5,300
"19410",7,23,"disamb","tt",85,"disamb tt",1,0,486,486,0.5,-0.5,486
"19412",7,10,"disamb","tt",85,"disamb tt",4,0,393,393,-0.5,0.5,393
"19414",7,9,"disamb","tt",85,"disamb tt",3,0,212,212,-0.5,-0.5,212
"19416",7,6,"disamb","tt",85,"disamb tt",4,0,188,188,-0.5,0.5,188
"19418",7,2,"disamb","tt",85,"disamb tt",4,0,263,263,-0.5,0.5,263
"19420",7,7,"disamb","tt",85,"disamb tt",1,0,331,331,0.5,-0.5,331
"19422",7,13,"disamb","tt",85,"disamb tt",3,0,304,304,-0.5,-0.5,304
"19424",7,12,"disamb","tt",85,"disamb tt",2,0,176,176,0.5,0.5,176
"19426",7,11,"disamb","tt",85,"disamb tt",1,0,168,168,0.5,-0.5,168
"19428",7,3,"disamb","tt",85,"disamb tt",1,0,154,154,0.5,-0.5,154
"19430",7,17,"disamb","tt",85,"disamb tt",3,1,0,NA,-0.5,-0.5,NA
"19432",7,22,"disamb","tt",85,"disamb tt",4,0,461,461,-0.5,0.5,461
"19433",8,1,"disamb","tt",85,"disamb tt",4,0,1406,1406,-0.5,0.5,1406
"19435",8,8,"disamb","tt",85,"disamb tt",3,0,573,573,-0.5,-0.5,573
"19437",8,4,"disamb","tt",85,"disamb tt",3,0,594,594,-0.5,-0.5,594
"19439",8,5,"disamb","tt",85,"disamb tt",4,0,600,600,-0.5,0.5,600
"19441",8,15,"disamb","tt",85,"disamb tt",2,0,1728,1728,0.5,0.5,1728
"19443",8,14,"disamb","tt",85,"disamb tt",1,0,1393,1393,0.5,-0.5,1393
"19445",8,21,"disamb","tt",85,"disamb tt",4,0,596,596,-0.5,0.5,596
"19447",8,18,"disamb","tt",85,"disamb tt",1,0,2003,2003,0.5,-0.5,2003
"19449",8,2,"disamb","tt",85,"disamb tt",1,0,965,965,0.5,-0.5,965
"19451",8,11,"disamb","tt",85,"disamb tt",2,0,586,586,0.5,0.5,586
"19453",8,22,"disamb","tt",85,"disamb tt",1,0,1637,1637,0.5,-0.5,1637
"19455",8,12,"disamb","tt",85,"disamb tt",3,0,1352,1352,-0.5,-0.5,1352
"19457",8,20,"disamb","tt",85,"disamb tt",3,0,395,395,-0.5,-0.5,395
"19459",8,23,"disamb","tt",85,"disamb tt",2,0,174,174,0.5,0.5,174
"19461",8,9,"disamb","tt",85,"disamb tt",4,0,1287,1287,-0.5,0.5,1287
"19463",8,16,"disamb","tt",85,"disamb tt",3,0,187,187,-0.5,-0.5,187
"19465",8,3,"disamb","tt",85,"disamb tt",2,0,1060,1060,0.5,0.5,1060
"19467",8,6,"disamb","tt",85,"disamb tt",1,0,658,658,0.5,-0.5,658
"19469",8,19,"disamb","tt",85,"disamb tt",2,0,1627,1627,0.5,0.5,1627
"19471",8,17,"disamb","tt",85,"disamb tt",4,0,666,666,-0.5,0.5,666
"19473",8,10,"disamb","tt",85,"disamb tt",1,0,496,496,0.5,-0.5,496
"19475",8,7,"disamb","tt",85,"disamb tt",2,0,1200,1200,0.5,0.5,1200
"19477",8,24,"disamb","tt",85,"disamb tt",3,0,262,262,-0.5,-0.5,262
"19479",8,13,"disamb","tt",85,"disamb tt",4,0,672,672,-0.5,0.5,672
"19482",9,16,"disamb","tt",85,"disamb tt",4,0,1478,1478,-0.5,0.5,1478
"19484",9,21,"disamb","tt",85,"disamb tt",1,0,884,884,0.5,-0.5,884
"19486",9,5,"disamb","tt",85,"disamb tt",1,0,2056,2056,0.5,-0.5,2056
"19488",9,11,"disamb","tt",85,"disamb tt",3,0,496,496,-0.5,-0.5,496
"19490",9,14,"disamb","tt",85,"disamb tt",2,0,1404,1404,0.5,0.5,1404
"19492",9,3,"disamb","tt",85,"disamb tt",3,0,1092,1092,-0.5,-0.5,1092
"19494",9,2,"disamb","tt",85,"disamb tt",2,0,672,672,0.5,0.5,672
"19496",9,10,"disamb","tt",85,"disamb tt",2,0,784,784,0.5,0.5,784
"19498",9,24,"disamb","tt",85,"disamb tt",4,0,450,450,-0.5,0.5,450
"19500",9,7,"disamb","tt",85,"disamb tt",3,0,1858,1858,-0.5,-0.5,1858
"19502",9,20,"disamb","tt",85,"disamb tt",4,0,952,952,-0.5,0.5,952
"19504",9,19,"disamb","tt",85,"disamb tt",3,0,1590,1590,-0.5,-0.5,1590
"19506",9,15,"disamb","tt",85,"disamb tt",3,0,1272,1272,-0.5,-0.5,1272
"19508",9,1,"disamb","tt",85,"disamb tt",1,0,850,850,0.5,-0.5,850
"19510",9,18,"disamb","tt",85,"disamb tt",2,0,946,946,0.5,0.5,946
"19512",9,17,"disamb","tt",85,"disamb tt",1,0,974,974,0.5,-0.5,974
"19514",9,23,"disamb","tt",85,"disamb tt",3,0,752,752,-0.5,-0.5,752
"19516",9,9,"disamb","tt",85,"disamb tt",1,0,754,754,0.5,-0.5,754
"19518",9,13,"disamb","tt",85,"disamb tt",1,0,458,458,0.5,-0.5,458
"19520",9,4,"disamb","tt",85,"disamb tt",4,0,1468,1468,-0.5,0.5,1468
"19522",9,22,"disamb","tt",85,"disamb tt",2,0,872,872,0.5,0.5,872
"19524",9,8,"disamb","tt",85,"disamb tt",4,0,498,498,-0.5,0.5,498
"19526",9,12,"disamb","tt",85,"disamb tt",4,0,372,372,-0.5,0.5,372
"19528",9,6,"disamb","tt",85,"disamb tt",2,0,500,500,0.5,0.5,500
"19529",10,23,"disamb","tt",85,"disamb tt",4,0,1086,1086,-0.5,0.5,1086
"19531",10,18,"disamb","tt",85,"disamb tt",3,0,252,252,-0.5,-0.5,252
"19533",10,19,"disamb","tt",85,"disamb tt",4,0,204,204,-0.5,0.5,204
"19535",10,16,"disamb","tt",85,"disamb tt",1,0,2372,2372,0.5,-0.5,2372
"19537",10,17,"disamb","tt",85,"disamb tt",2,0,834,834,0.5,0.5,834
"19539",10,1,"disamb","tt",85,"disamb tt",2,0,990,990,0.5,0.5,990
"19541",10,22,"disamb","tt",85,"disamb tt",3,0,404,404,-0.5,-0.5,404
"19543",10,20,"disamb","tt",85,"disamb tt",1,0,154,154,0.5,-0.5,154
"19545",10,14,"disamb","tt",85,"disamb tt",3,0,244,244,-0.5,-0.5,244
"19547",10,11,"disamb","tt",85,"disamb tt",4,0,554,554,-0.5,0.5,554
"19549",10,15,"disamb","tt",85,"disamb tt",4,0,764,764,-0.5,0.5,764
"19551",10,7,"disamb","tt",85,"disamb tt",4,0,858,858,-0.5,0.5,858
