"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"15282",1,18,"spillover2","rp",53,"spillover2 rp",2,0,2305,2305,0.5,0.5,2305
"15284",1,15,"spillover2","rp",53,"spillover2 rp",3,0,346,346,-0.5,-0.5,346
"15286",1,1,"spillover2","rp",53,"spillover2 rp",1,0,447,447,0.5,-0.5,447
"15288",1,6,"spillover2","rp",53,"spillover2 rp",2,0,389,389,0.5,0.5,389
"15290",1,3,"spillover2","rp",53,"spillover2 rp",3,0,461,461,-0.5,-0.5,461
"15292",1,14,"spillover2","rp",53,"spillover2 rp",2,0,436,436,0.5,0.5,436
"15294",1,4,"spillover2","rp",53,"spillover2 rp",4,0,4132,4132,-0.5,0.5,4132
"15296",1,17,"spillover2","rp",53,"spillover2 rp",1,0,458,458,0.5,-0.5,458
"15298",1,5,"spillover2","rp",53,"spillover2 rp",1,0,372,372,0.5,-0.5,372
"15300",1,13,"spillover2","rp",53,"spillover2 rp",1,0,289,289,0.5,-0.5,289
"15302",1,22,"spillover2","rp",53,"spillover2 rp",2,0,743,743,0.5,0.5,743
"15304",1,8,"spillover2","rp",53,"spillover2 rp",4,0,3677,3677,-0.5,0.5,3677
"15306",1,9,"spillover2","rp",53,"spillover2 rp",1,0,402,402,0.5,-0.5,402
"15308",1,19,"spillover2","rp",53,"spillover2 rp",3,0,1396,1396,-0.5,-0.5,1396
"15310",1,24,"spillover2","rp",53,"spillover2 rp",4,0,452,452,-0.5,0.5,452
"15312",1,12,"spillover2","rp",53,"spillover2 rp",4,0,3196,3196,-0.5,0.5,3196
"15314",1,20,"spillover2","rp",53,"spillover2 rp",4,0,189,189,-0.5,0.5,189
"15316",1,10,"spillover2","rp",53,"spillover2 rp",2,0,3708,3708,0.5,0.5,3708
"15318",1,11,"spillover2","rp",53,"spillover2 rp",3,0,1047,1047,-0.5,-0.5,1047
"15320",1,16,"spillover2","rp",53,"spillover2 rp",4,0,1946,1946,-0.5,0.5,1946
"15322",1,7,"spillover2","rp",53,"spillover2 rp",3,0,8915,8915,-0.5,-0.5,8915
"15324",1,2,"spillover2","rp",53,"spillover2 rp",2,0,9715,9715,0.5,0.5,9715
"15326",1,21,"spillover2","rp",53,"spillover2 rp",1,0,825,825,0.5,-0.5,825
"15328",1,23,"spillover2","rp",53,"spillover2 rp",3,0,2261,2261,-0.5,-0.5,2261
"15330",2,16,"spillover2","rp",53,"spillover2 rp",1,0,952,952,0.5,-0.5,952
"15332",2,4,"spillover2","rp",53,"spillover2 rp",1,0,583,583,0.5,-0.5,583
"15334",2,2,"spillover2","rp",53,"spillover2 rp",3,0,2725,2725,-0.5,-0.5,NA
"15336",2,13,"spillover2","rp",53,"spillover2 rp",2,0,511,511,0.5,0.5,511
"15338",2,19,"spillover2","rp",53,"spillover2 rp",4,0,756,756,-0.5,0.5,756
"15340",2,12,"spillover2","rp",53,"spillover2 rp",1,0,1307,1307,0.5,-0.5,1307
"15342",2,10,"spillover2","rp",53,"spillover2 rp",3,0,293,293,-0.5,-0.5,293
"15344",2,3,"spillover2","rp",53,"spillover2 rp",4,0,925,925,-0.5,0.5,925
"15346",2,9,"spillover2","rp",53,"spillover2 rp",2,0,334,334,0.5,0.5,334
"15348",2,21,"spillover2","rp",53,"spillover2 rp",2,0,545,545,0.5,0.5,545
"15350",2,15,"spillover2","rp",53,"spillover2 rp",4,0,476,476,-0.5,0.5,476
"15352",2,18,"spillover2","rp",53,"spillover2 rp",3,0,1145,1145,-0.5,-0.5,1145
"15354",2,6,"spillover2","rp",53,"spillover2 rp",3,0,1309,1309,-0.5,-0.5,1309
"15356",2,5,"spillover2","rp",53,"spillover2 rp",2,0,544,544,0.5,0.5,544
"15358",2,14,"spillover2","rp",53,"spillover2 rp",3,0,386,386,-0.5,-0.5,386
"15360",2,1,"spillover2","rp",53,"spillover2 rp",2,0,348,348,0.5,0.5,348
"15362",2,20,"spillover2","rp",53,"spillover2 rp",1,0,369,369,0.5,-0.5,369
"15364",2,11,"spillover2","rp",53,"spillover2 rp",4,0,433,433,-0.5,0.5,433
"15366",2,7,"spillover2","rp",53,"spillover2 rp",4,0,666,666,-0.5,0.5,666
"15368",2,23,"spillover2","rp",53,"spillover2 rp",4,0,662,662,-0.5,0.5,662
"15370",2,8,"spillover2","rp",53,"spillover2 rp",1,0,350,350,0.5,-0.5,350
"15372",2,17,"spillover2","rp",53,"spillover2 rp",2,0,451,451,0.5,0.5,451
"15374",2,24,"spillover2","rp",53,"spillover2 rp",1,0,262,262,0.5,-0.5,262
"15376",2,22,"spillover2","rp",53,"spillover2 rp",3,0,304,304,-0.5,-0.5,304
"15378",3,18,"spillover2","rp",53,"spillover2 rp",4,0,1164,1164,-0.5,0.5,1164
"15380",3,7,"spillover2","rp",53,"spillover2 rp",1,0,1271,1271,0.5,-0.5,1271
"15382",3,16,"spillover2","rp",53,"spillover2 rp",2,0,805,805,0.5,0.5,805
"15384",3,5,"spillover2","rp",53,"spillover2 rp",3,0,537,537,-0.5,-0.5,537
"15386",3,24,"spillover2","rp",53,"spillover2 rp",2,0,491,491,0.5,0.5,491
"15388",3,4,"spillover2","rp",53,"spillover2 rp",2,0,1376,1376,0.5,0.5,1376
"15390",3,14,"spillover2","rp",53,"spillover2 rp",4,0,4371,4371,-0.5,0.5,4371
"15392",3,1,"spillover2","rp",53,"spillover2 rp",3,0,677,677,-0.5,-0.5,677
"15394",3,9,"spillover2","rp",53,"spillover2 rp",3,0,1242,1242,-0.5,-0.5,1242
"15396",3,22,"spillover2","rp",53,"spillover2 rp",4,0,1140,1140,-0.5,0.5,1140
"15398",3,10,"spillover2","rp",53,"spillover2 rp",4,0,799,799,-0.5,0.5,799
"15400",3,6,"spillover2","rp",53,"spillover2 rp",4,0,5030,5030,-0.5,0.5,5030
"15402",3,23,"spillover2","rp",53,"spillover2 rp",1,0,642,642,0.5,-0.5,642
"15404",3,17,"spillover2","rp",53,"spillover2 rp",3,0,678,678,-0.5,-0.5,678
"15406",3,19,"spillover2","rp",53,"spillover2 rp",1,0,459,459,0.5,-0.5,459
"15408",3,13,"spillover2","rp",53,"spillover2 rp",3,0,403,403,-0.5,-0.5,403
"15410",3,20,"spillover2","rp",53,"spillover2 rp",2,0,1058,1058,0.5,0.5,1058
"15412",3,11,"spillover2","rp",53,"spillover2 rp",1,0,588,588,0.5,-0.5,588
"15414",3,2,"spillover2","rp",53,"spillover2 rp",4,0,3387,3387,-0.5,0.5,3387
"15416",3,12,"spillover2","rp",53,"spillover2 rp",2,0,910,910,0.5,0.5,910
"15418",3,21,"spillover2","rp",53,"spillover2 rp",3,0,508,508,-0.5,-0.5,508
"15420",3,15,"spillover2","rp",53,"spillover2 rp",1,0,188,188,0.5,-0.5,188
"15422",3,8,"spillover2","rp",53,"spillover2 rp",2,0,379,379,0.5,0.5,379
"15424",3,3,"spillover2","rp",53,"spillover2 rp",1,0,3747,3747,0.5,-0.5,3747
"15426",4,7,"spillover2","rp",53,"spillover2 rp",2,0,1497,1497,0.5,0.5,1497
"15428",4,8,"spillover2","rp",53,"spillover2 rp",3,0,582,582,-0.5,-0.5,582
"15430",4,11,"spillover2","rp",53,"spillover2 rp",2,0,678,678,0.5,0.5,678
"15432",4,22,"spillover2","rp",53,"spillover2 rp",1,1,0,NA,0.5,-0.5,NA
"15434",4,1,"spillover2","rp",53,"spillover2 rp",4,0,1359,1359,-0.5,0.5,1359
"15436",4,20,"spillover2","rp",53,"spillover2 rp",3,0,5488,5488,-0.5,-0.5,5488
"15438",4,23,"spillover2","rp",53,"spillover2 rp",2,0,1302,1302,0.5,0.5,1302
"15440",4,3,"spillover2","rp",53,"spillover2 rp",2,0,1337,1337,0.5,0.5,1337
"15443",4,19,"spillover2","rp",53,"spillover2 rp",2,0,319,319,0.5,0.5,319
"15445",4,13,"spillover2","rp",53,"spillover2 rp",4,0,1783,1783,-0.5,0.5,1783
"15447",4,9,"spillover2","rp",53,"spillover2 rp",4,0,6122,6122,-0.5,0.5,6122
"15449",4,2,"spillover2","rp",53,"spillover2 rp",1,0,1531,1531,0.5,-0.5,1531
"15452",4,4,"spillover2","rp",53,"spillover2 rp",3,0,1529,1529,-0.5,-0.5,1529
"15454",4,12,"spillover2","rp",53,"spillover2 rp",3,0,1068,1068,-0.5,-0.5,1068
"15456",4,16,"spillover2","rp",53,"spillover2 rp",3,0,586,586,-0.5,-0.5,586
"15459",4,18,"spillover2","rp",53,"spillover2 rp",1,0,442,442,0.5,-0.5,442
"15461",4,24,"spillover2","rp",53,"spillover2 rp",3,0,602,602,-0.5,-0.5,602
"15463",4,6,"spillover2","rp",53,"spillover2 rp",1,0,354,354,0.5,-0.5,354
"15465",4,17,"spillover2","rp",53,"spillover2 rp",4,0,2755,2755,-0.5,0.5,2755
"15468",4,14,"spillover2","rp",53,"spillover2 rp",1,0,1390,1390,0.5,-0.5,1390
"15469",5,13,"spillover2","rp",53,"spillover2 rp",1,0,436,436,0.5,-0.5,436
"15471",5,4,"spillover2","rp",53,"spillover2 rp",4,0,1364,1364,-0.5,0.5,1364
"15473",5,9,"spillover2","rp",53,"spillover2 rp",1,0,585,585,0.5,-0.5,585
"15475",5,8,"spillover2","rp",53,"spillover2 rp",4,0,950,950,-0.5,0.5,950
"15477",5,7,"spillover2","rp",53,"spillover2 rp",3,0,2386,2386,-0.5,-0.5,2386
"15479",5,16,"spillover2","rp",53,"spillover2 rp",4,0,876,876,-0.5,0.5,876
"15481",5,19,"spillover2","rp",53,"spillover2 rp",3,0,750,750,-0.5,-0.5,750
"15483",5,17,"spillover2","rp",53,"spillover2 rp",1,0,429,429,0.5,-0.5,429
"15485",5,3,"spillover2","rp",53,"spillover2 rp",3,0,1195,1195,-0.5,-0.5,1195
"15487",5,14,"spillover2","rp",53,"spillover2 rp",2,0,802,802,0.5,0.5,802
"15489",5,1,"spillover2","rp",53,"spillover2 rp",1,0,664,664,0.5,-0.5,664
"15491",5,15,"spillover2","rp",53,"spillover2 rp",3,0,728,728,-0.5,-0.5,728
"15493",5,22,"spillover2","rp",53,"spillover2 rp",2,0,858,858,0.5,0.5,858
"15495",5,18,"spillover2","rp",53,"spillover2 rp",2,0,583,583,0.5,0.5,583
"15497",5,5,"spillover2","rp",53,"spillover2 rp",1,0,715,715,0.5,-0.5,715
"15499",5,2,"spillover2","rp",53,"spillover2 rp",2,0,927,927,0.5,0.5,927
"15501",5,23,"spillover2","rp",53,"spillover2 rp",3,0,823,823,-0.5,-0.5,823
"15503",5,21,"spillover2","rp",53,"spillover2 rp",1,0,539,539,0.5,-0.5,539
"15505",5,20,"spillover2","rp",53,"spillover2 rp",4,0,422,422,-0.5,0.5,422
"15507",5,10,"spillover2","rp",53,"spillover2 rp",2,0,999,999,0.5,0.5,999
"15509",5,12,"spillover2","rp",53,"spillover2 rp",4,0,2987,2987,-0.5,0.5,2987
"15511",5,11,"spillover2","rp",53,"spillover2 rp",3,0,778,778,-0.5,-0.5,778
"15513",5,24,"spillover2","rp",53,"spillover2 rp",4,0,565,565,-0.5,0.5,565
"15515",5,6,"spillover2","rp",53,"spillover2 rp",2,0,558,558,0.5,0.5,558
"15518",6,4,"spillover2","rp",53,"spillover2 rp",1,0,3479,3479,0.5,-0.5,3479
"15520",6,23,"spillover2","rp",53,"spillover2 rp",4,0,623,623,-0.5,0.5,623
"15522",6,12,"spillover2","rp",53,"spillover2 rp",1,0,2350,2350,0.5,-0.5,2350
"15524",6,19,"spillover2","rp",53,"spillover2 rp",4,0,737,737,-0.5,0.5,737
"15526",6,21,"spillover2","rp",53,"spillover2 rp",2,0,1155,1155,0.5,0.5,1155
"15528",6,9,"spillover2","rp",53,"spillover2 rp",2,0,902,902,0.5,0.5,902
"15530",6,3,"spillover2","rp",53,"spillover2 rp",4,0,5377,5377,-0.5,0.5,NA
"15532",6,1,"spillover2","rp",53,"spillover2 rp",2,0,1174,1174,0.5,0.5,1174
"15534",6,6,"spillover2","rp",53,"spillover2 rp",3,0,876,876,-0.5,-0.5,876
"15536",6,14,"spillover2","rp",53,"spillover2 rp",3,0,563,563,-0.5,-0.5,563
"15538",6,7,"spillover2","rp",53,"spillover2 rp",4,0,1467,1467,-0.5,0.5,1467
"15540",6,8,"spillover2","rp",53,"spillover2 rp",1,0,524,524,0.5,-0.5,524
"15542",6,18,"spillover2","rp",53,"spillover2 rp",3,0,1267,1267,-0.5,-0.5,1267
"15544",6,24,"spillover2","rp",53,"spillover2 rp",1,0,1504,1504,0.5,-0.5,1504
"15546",6,15,"spillover2","rp",53,"spillover2 rp",4,0,373,373,-0.5,0.5,373
"15548",6,10,"spillover2","rp",53,"spillover2 rp",3,0,2660,2660,-0.5,-0.5,2660
"15550",6,16,"spillover2","rp",53,"spillover2 rp",1,0,849,849,0.5,-0.5,849
