"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"242",1,18,"disamb","rp",74,"disamb rp",2,0,264,264,0.5,0.5,264
"244",1,15,"disamb","rp",74,"disamb rp",3,0,329,329,-0.5,-0.5,329
"246",1,1,"disamb","rp",74,"disamb rp",1,0,181,181,0.5,-0.5,181
"248",1,6,"disamb","rp",74,"disamb rp",2,0,277,277,0.5,0.5,277
"250",1,3,"disamb","rp",74,"disamb rp",3,0,562,562,-0.5,-0.5,562
"252",1,14,"disamb","rp",74,"disamb rp",2,0,1215,1215,0.5,0.5,1215
"254",1,4,"disamb","rp",74,"disamb rp",4,0,206,206,-0.5,0.5,206
"256",1,17,"disamb","rp",74,"disamb rp",1,1,0,NA,0.5,-0.5,NA
"258",1,5,"disamb","rp",74,"disamb rp",1,1,0,NA,0.5,-0.5,NA
"260",1,13,"disamb","rp",74,"disamb rp",1,0,310,310,0.5,-0.5,310
"262",1,22,"disamb","rp",74,"disamb rp",2,0,519,519,0.5,0.5,519
"264",1,8,"disamb","rp",74,"disamb rp",4,0,283,283,-0.5,0.5,283
"266",1,9,"disamb","rp",74,"disamb rp",1,0,218,218,0.5,-0.5,218
"268",1,19,"disamb","rp",74,"disamb rp",3,0,203,203,-0.5,-0.5,203
"270",1,24,"disamb","rp",74,"disamb rp",4,0,199,199,-0.5,0.5,199
"272",1,12,"disamb","rp",74,"disamb rp",4,0,1277,1277,-0.5,0.5,1277
"274",1,20,"disamb","rp",74,"disamb rp",4,0,223,223,-0.5,0.5,223
"276",1,10,"disamb","rp",74,"disamb rp",2,1,0,NA,0.5,0.5,NA
"278",1,11,"disamb","rp",74,"disamb rp",3,0,263,263,-0.5,-0.5,263
"280",1,16,"disamb","rp",74,"disamb rp",4,0,902,902,-0.5,0.5,902
"282",1,7,"disamb","rp",74,"disamb rp",3,0,444,444,-0.5,-0.5,444
"284",1,2,"disamb","rp",74,"disamb rp",2,0,315,315,0.5,0.5,315
"286",1,21,"disamb","rp",74,"disamb rp",1,0,196,196,0.5,-0.5,196
"288",1,23,"disamb","rp",74,"disamb rp",3,0,441,441,-0.5,-0.5,441
"962",2,16,"disamb","rp",71,"disamb rp",1,0,1244,1244,0.5,-0.5,1244
"964",2,4,"disamb","rp",71,"disamb rp",1,0,1162,1162,0.5,-0.5,1162
"966",2,2,"disamb","rp",71,"disamb rp",3,0,877,877,-0.5,-0.5,877
"968",2,13,"disamb","rp",71,"disamb rp",2,0,1119,1119,0.5,0.5,1119
"970",2,19,"disamb","rp",71,"disamb rp",4,0,1130,1130,-0.5,0.5,1130
"972",2,12,"disamb","rp",71,"disamb rp",1,0,232,232,0.5,-0.5,232
"974",2,10,"disamb","rp",71,"disamb rp",3,0,747,747,-0.5,-0.5,747
