"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"17191",1,28,"spillover2","rp",52,"spillover2 rp",8,0,751,751,-0.5,0.5,751
"17193",1,46,"spillover2","rp",52,"spillover2 rp",6,0,1706,1706,-0.5,-0.5,1706
"17195",1,40,"spillover2","rp",52,"spillover2 rp",8,0,847,847,-0.5,0.5,847
"17197",1,25,"spillover2","rp",52,"spillover2 rp",5,0,2204,2204,0.5,-0.5,2204
"17199",1,42,"spillover2","rp",52,"spillover2 rp",6,0,2092,2092,-0.5,-0.5,2092
"17201",1,37,"spillover2","rp",52,"spillover2 rp",5,0,934,934,0.5,-0.5,934
"17203",1,26,"spillover2","rp",52,"spillover2 rp",6,0,2302,2302,-0.5,-0.5,2302
"17205",1,30,"spillover2","rp",52,"spillover2 rp",6,0,1625,1625,-0.5,-0.5,1625
"17207",1,32,"spillover2","rp",52,"spillover2 rp",8,0,2479,2479,-0.5,0.5,2479
"17209",1,31,"spillover2","rp",52,"spillover2 rp",7,0,2269,2269,0.5,0.5,2269
"17211",1,47,"spillover2","rp",52,"spillover2 rp",7,0,1126,1126,0.5,0.5,1126
"17213",1,44,"spillover2","rp",52,"spillover2 rp",8,0,2365,2365,-0.5,0.5,2365
"17215",1,27,"spillover2","rp",52,"spillover2 rp",7,0,1286,1286,0.5,0.5,1286
"17217",1,33,"spillover2","rp",52,"spillover2 rp",5,0,697,697,0.5,-0.5,697
"17219",1,45,"spillover2","rp",52,"spillover2 rp",5,0,1469,1469,0.5,-0.5,1469
"17221",1,34,"spillover2","rp",52,"spillover2 rp",6,0,981,981,-0.5,-0.5,981
"17223",1,35,"spillover2","rp",52,"spillover2 rp",7,0,1069,1069,0.5,0.5,1069
"17225",1,29,"spillover2","rp",52,"spillover2 rp",5,0,8218,8218,0.5,-0.5,NA
"17227",1,41,"spillover2","rp",52,"spillover2 rp",5,0,807,807,0.5,-0.5,807
"17229",1,38,"spillover2","rp",52,"spillover2 rp",6,0,486,486,-0.5,-0.5,486
"17231",1,43,"spillover2","rp",52,"spillover2 rp",7,0,1682,1682,0.5,0.5,1682
"17233",1,39,"spillover2","rp",52,"spillover2 rp",7,0,1547,1547,0.5,0.5,1547
"17235",1,48,"spillover2","rp",52,"spillover2 rp",8,0,832,832,-0.5,0.5,832
"17237",1,36,"spillover2","rp",52,"spillover2 rp",8,0,793,793,-0.5,0.5,793
"17239",2,32,"spillover2","rp",52,"spillover2 rp",5,0,2663,2663,0.5,-0.5,2663
"17241",2,48,"spillover2","rp",52,"spillover2 rp",5,0,1357,1357,0.5,-0.5,1357
"17243",2,40,"spillover2","rp",52,"spillover2 rp",5,0,18179,18179,0.5,-0.5,NA
"17245",2,28,"spillover2","rp",52,"spillover2 rp",5,0,425,425,0.5,-0.5,425
"17247",2,38,"spillover2","rp",52,"spillover2 rp",7,0,1046,1046,0.5,0.5,1046
"17249",2,42,"spillover2","rp",52,"spillover2 rp",7,0,1148,1148,0.5,0.5,1148
"17251",2,37,"spillover2","rp",52,"spillover2 rp",6,0,1088,1088,-0.5,-0.5,1088
"17253",2,29,"spillover2","rp",52,"spillover2 rp",6,0,290,290,-0.5,-0.5,290
"17255",2,45,"spillover2","rp",52,"spillover2 rp",6,0,943,943,-0.5,-0.5,943
"17257",2,41,"spillover2","rp",52,"spillover2 rp",6,0,2554,2554,-0.5,-0.5,2554
"17259",2,35,"spillover2","rp",52,"spillover2 rp",8,0,643,643,-0.5,0.5,643
"17261",2,44,"spillover2","rp",52,"spillover2 rp",5,0,845,845,0.5,-0.5,845
"17263",2,46,"spillover2","rp",52,"spillover2 rp",7,1,0,NA,0.5,0.5,NA
"17265",2,26,"spillover2","rp",52,"spillover2 rp",7,1,0,NA,0.5,0.5,NA
"17267",2,25,"spillover2","rp",52,"spillover2 rp",6,0,182,182,-0.5,-0.5,182
"17269",2,47,"spillover2","rp",52,"spillover2 rp",8,0,290,290,-0.5,0.5,290
"17271",2,34,"spillover2","rp",52,"spillover2 rp",7,0,802,802,0.5,0.5,802
"17273",2,43,"spillover2","rp",52,"spillover2 rp",8,0,1415,1415,-0.5,0.5,1415
"17275",2,33,"spillover2","rp",52,"spillover2 rp",6,0,851,851,-0.5,-0.5,851
"17277",2,39,"spillover2","rp",52,"spillover2 rp",8,0,721,721,-0.5,0.5,721
"17279",2,30,"spillover2","rp",52,"spillover2 rp",7,0,955,955,0.5,0.5,955
"17281",2,31,"spillover2","rp",52,"spillover2 rp",8,0,833,833,-0.5,0.5,833
"17283",2,36,"spillover2","rp",52,"spillover2 rp",5,0,2196,2196,0.5,-0.5,2196
"17285",2,27,"spillover2","rp",52,"spillover2 rp",8,0,1463,1463,-0.5,0.5,1463
"17287",3,36,"spillover2","rp",52,"spillover2 rp",6,0,6228,6228,-0.5,-0.5,6228
"17289",3,27,"spillover2","rp",52,"spillover2 rp",5,0,1372,1372,0.5,-0.5,1372
"17291",3,37,"spillover2","rp",52,"spillover2 rp",7,0,7957,7957,0.5,0.5,7957
"17293",3,41,"spillover2","rp",52,"spillover2 rp",7,0,12349,12349,0.5,0.5,12349
"17295",3,26,"spillover2","rp",52,"spillover2 rp",8,0,15008,15008,-0.5,0.5,15008
"17297",3,45,"spillover2","rp",52,"spillover2 rp",7,0,12866,12866,0.5,0.5,12866
"17299",3,42,"spillover2","rp",52,"spillover2 rp",8,0,17902,17902,-0.5,0.5,17902
"17301",3,47,"spillover2","rp",52,"spillover2 rp",5,0,11776,11776,0.5,-0.5,11776
"17303",3,29,"spillover2","rp",52,"spillover2 rp",7,0,22648,22648,0.5,0.5,22648
"17305",3,34,"spillover2","rp",52,"spillover2 rp",8,0,1037,1037,-0.5,0.5,1037
"17307",3,39,"spillover2","rp",52,"spillover2 rp",5,0,1212,1212,0.5,-0.5,1212
"17309",3,48,"spillover2","rp",52,"spillover2 rp",6,0,2132,2132,-0.5,-0.5,2132
"17311",3,44,"spillover2","rp",52,"spillover2 rp",6,0,1519,1519,-0.5,-0.5,1519
"17313",3,43,"spillover2","rp",52,"spillover2 rp",5,0,3782,3782,0.5,-0.5,3782
"17315",3,28,"spillover2","rp",52,"spillover2 rp",6,0,1708,1708,-0.5,-0.5,1708
"17317",3,40,"spillover2","rp",52,"spillover2 rp",6,0,1333,1333,-0.5,-0.5,1333
