"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"5732",1,18,"spillover2","fp",70,"spillover2 fp",2,0,399,399,0.5,0.5,399
"5734",1,15,"spillover2","fp",70,"spillover2 fp",3,0,346,346,-0.5,-0.5,346
"5736",1,1,"spillover2","fp",70,"spillover2 fp",1,0,447,447,0.5,-0.5,447
"5738",1,6,"spillover2","fp",70,"spillover2 fp",2,0,389,389,0.5,0.5,389
"5740",1,3,"spillover2","fp",70,"spillover2 fp",3,0,461,461,-0.5,-0.5,461
"5742",1,14,"spillover2","fp",70,"spillover2 fp",2,0,436,436,0.5,0.5,436
"5744",1,4,"spillover2","fp",70,"spillover2 fp",4,0,492,492,-0.5,0.5,492
"5746",1,17,"spillover2","fp",70,"spillover2 fp",1,0,458,458,0.5,-0.5,458
"5748",1,5,"spillover2","fp",70,"spillover2 fp",1,0,372,372,0.5,-0.5,372
"5750",1,13,"spillover2","fp",70,"spillover2 fp",1,0,289,289,0.5,-0.5,289
"5752",1,22,"spillover2","fp",70,"spillover2 fp",2,0,198,198,0.5,0.5,198
"5754",1,8,"spillover2","fp",70,"spillover2 fp",4,0,266,266,-0.5,0.5,266
"5756",1,9,"spillover2","fp",70,"spillover2 fp",1,0,402,402,0.5,-0.5,402
"5758",1,19,"spillover2","fp",70,"spillover2 fp",3,0,407,407,-0.5,-0.5,407
"5760",1,24,"spillover2","fp",70,"spillover2 fp",4,0,452,452,-0.5,0.5,452
"5762",1,12,"spillover2","fp",70,"spillover2 fp",4,0,890,890,-0.5,0.5,890
"5764",1,20,"spillover2","fp",70,"spillover2 fp",4,0,189,189,-0.5,0.5,189
"5766",1,10,"spillover2","fp",70,"spillover2 fp",2,0,999,999,0.5,0.5,999
"5768",1,11,"spillover2","fp",70,"spillover2 fp",3,0,1047,1047,-0.5,-0.5,1047
"5770",1,16,"spillover2","fp",70,"spillover2 fp",4,0,592,592,-0.5,0.5,592
"5772",1,7,"spillover2","fp",70,"spillover2 fp",3,0,422,422,-0.5,-0.5,422
"5774",1,2,"spillover2","fp",70,"spillover2 fp",2,0,582,582,0.5,0.5,582
"5776",1,21,"spillover2","fp",70,"spillover2 fp",1,0,825,825,0.5,-0.5,825
"5778",1,23,"spillover2","fp",70,"spillover2 fp",3,0,818,818,-0.5,-0.5,818
"5780",2,16,"spillover2","fp",70,"spillover2 fp",1,0,952,952,0.5,-0.5,952
"5782",2,4,"spillover2","fp",70,"spillover2 fp",1,0,583,583,0.5,-0.5,583
"5784",2,2,"spillover2","fp",70,"spillover2 fp",3,0,935,935,-0.5,-0.5,935
"5786",2,13,"spillover2","fp",70,"spillover2 fp",2,0,511,511,0.5,0.5,511
"5788",2,19,"spillover2","fp",70,"spillover2 fp",4,0,756,756,-0.5,0.5,756
"5790",2,12,"spillover2","fp",70,"spillover2 fp",1,0,1307,1307,0.5,-0.5,1307
"5792",2,10,"spillover2","fp",70,"spillover2 fp",3,0,293,293,-0.5,-0.5,293
"5794",2,3,"spillover2","fp",70,"spillover2 fp",4,0,925,925,-0.5,0.5,925
"5796",2,9,"spillover2","fp",70,"spillover2 fp",2,0,334,334,0.5,0.5,334
"5798",2,21,"spillover2","fp",70,"spillover2 fp",2,0,545,545,0.5,0.5,545
"5800",2,15,"spillover2","fp",70,"spillover2 fp",4,0,476,476,-0.5,0.5,476
"5802",2,18,"spillover2","fp",70,"spillover2 fp",3,0,163,163,-0.5,-0.5,163
"5804",2,6,"spillover2","fp",70,"spillover2 fp",3,0,143,143,-0.5,-0.5,143
"5806",2,5,"spillover2","fp",70,"spillover2 fp",2,0,195,195,0.5,0.5,195
"5808",2,14,"spillover2","fp",70,"spillover2 fp",3,0,386,386,-0.5,-0.5,386
"5810",2,1,"spillover2","fp",70,"spillover2 fp",2,0,348,348,0.5,0.5,348
"5812",2,20,"spillover2","fp",70,"spillover2 fp",1,0,369,369,0.5,-0.5,369
"5814",2,11,"spillover2","fp",70,"spillover2 fp",4,0,433,433,-0.5,0.5,433
"5816",2,7,"spillover2","fp",70,"spillover2 fp",4,0,666,666,-0.5,0.5,666
"5818",2,23,"spillover2","fp",70,"spillover2 fp",4,0,662,662,-0.5,0.5,662
"5820",2,8,"spillover2","fp",70,"spillover2 fp",1,0,350,350,0.5,-0.5,350
"5822",2,17,"spillover2","fp",70,"spillover2 fp",2,0,451,451,0.5,0.5,451
"5824",2,24,"spillover2","fp",70,"spillover2 fp",1,0,262,262,0.5,-0.5,262
"5826",2,22,"spillover2","fp",70,"spillover2 fp",3,0,304,304,-0.5,-0.5,304
"5828",3,18,"spillover2","fp",70,"spillover2 fp",4,0,660,660,-0.5,0.5,660
"5830",3,7,"spillover2","fp",70,"spillover2 fp",1,0,234,234,0.5,-0.5,234
"5832",3,16,"spillover2","fp",70,"spillover2 fp",2,0,805,805,0.5,0.5,805
"5834",3,5,"spillover2","fp",70,"spillover2 fp",3,0,537,537,-0.5,-0.5,537
"5836",3,24,"spillover2","fp",70,"spillover2 fp",2,0,491,491,0.5,0.5,491
"5838",3,4,"spillover2","fp",70,"spillover2 fp",2,0,152,152,0.5,0.5,152
"5840",3,14,"spillover2","fp",70,"spillover2 fp",4,0,792,792,-0.5,0.5,792
"5842",3,1,"spillover2","fp",70,"spillover2 fp",3,0,677,677,-0.5,-0.5,677
"5844",3,9,"spillover2","fp",70,"spillover2 fp",3,0,1242,1242,-0.5,-0.5,1242
"5846",3,22,"spillover2","fp",70,"spillover2 fp",4,0,187,187,-0.5,0.5,187
"5848",3,10,"spillover2","fp",70,"spillover2 fp",4,0,799,799,-0.5,0.5,799
"5850",3,6,"spillover2","fp",70,"spillover2 fp",4,0,169,169,-0.5,0.5,169
"5852",3,23,"spillover2","fp",70,"spillover2 fp",1,0,642,642,0.5,-0.5,642
"5854",3,17,"spillover2","fp",70,"spillover2 fp",3,0,678,678,-0.5,-0.5,678
"5856",3,19,"spillover2","fp",70,"spillover2 fp",1,0,459,459,0.5,-0.5,459
"5858",3,13,"spillover2","fp",70,"spillover2 fp",3,0,403,403,-0.5,-0.5,403
"5860",3,20,"spillover2","fp",70,"spillover2 fp",2,0,559,559,0.5,0.5,559
"5862",3,11,"spillover2","fp",70,"spillover2 fp",1,0,588,588,0.5,-0.5,588
"5864",3,2,"spillover2","fp",70,"spillover2 fp",4,0,935,935,-0.5,0.5,935
"5866",3,12,"spillover2","fp",70,"spillover2 fp",2,0,910,910,0.5,0.5,910
"5868",3,21,"spillover2","fp",70,"spillover2 fp",3,0,508,508,-0.5,-0.5,508
"5870",3,15,"spillover2","fp",70,"spillover2 fp",1,0,188,188,0.5,-0.5,188
"5872",3,8,"spillover2","fp",70,"spillover2 fp",2,0,379,379,0.5,0.5,379
"5874",3,3,"spillover2","fp",70,"spillover2 fp",1,0,480,480,0.5,-0.5,480
"5876",4,7,"spillover2","fp",70,"spillover2 fp",2,0,1497,1497,0.5,0.5,1497
"5878",4,8,"spillover2","fp",70,"spillover2 fp",3,0,582,582,-0.5,-0.5,582
"5880",4,11,"spillover2","fp",70,"spillover2 fp",2,0,678,678,0.5,0.5,678
"5882",4,22,"spillover2","fp",70,"spillover2 fp",1,1,0,NA,0.5,-0.5,NA
"5884",4,1,"spillover2","fp",70,"spillover2 fp",4,0,930,930,-0.5,0.5,930
"5886",4,20,"spillover2","fp",70,"spillover2 fp",3,0,222,222,-0.5,-0.5,222
"5888",4,23,"spillover2","fp",70,"spillover2 fp",2,0,1302,1302,0.5,0.5,1302
"5890",4,3,"spillover2","fp",70,"spillover2 fp",2,0,1337,1337,0.5,0.5,1337
"5893",4,19,"spillover2","fp",70,"spillover2 fp",2,0,319,319,0.5,0.5,319
"5895",4,13,"spillover2","fp",70,"spillover2 fp",4,0,1783,1783,-0.5,0.5,1783
"5897",4,9,"spillover2","fp",70,"spillover2 fp",4,0,734,734,-0.5,0.5,734
"5899",4,2,"spillover2","fp",70,"spillover2 fp",1,0,1531,1531,0.5,-0.5,1531
"5902",4,4,"spillover2","fp",70,"spillover2 fp",3,0,1529,1529,-0.5,-0.5,1529
"5904",4,12,"spillover2","fp",70,"spillover2 fp",3,0,1068,1068,-0.5,-0.5,1068
"5906",4,16,"spillover2","fp",70,"spillover2 fp",3,0,586,586,-0.5,-0.5,586
"5909",4,18,"spillover2","fp",70,"spillover2 fp",1,0,442,442,0.5,-0.5,442
"5911",4,24,"spillover2","fp",70,"spillover2 fp",3,0,602,602,-0.5,-0.5,602
"5913",4,6,"spillover2","fp",70,"spillover2 fp",1,0,354,354,0.5,-0.5,354
"5915",4,17,"spillover2","fp",70,"spillover2 fp",4,0,2755,2755,-0.5,0.5,2755
"5918",4,14,"spillover2","fp",70,"spillover2 fp",1,0,1390,1390,0.5,-0.5,1390
"5919",5,13,"spillover2","fp",70,"spillover2 fp",1,0,436,436,0.5,-0.5,436
