"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"193",1,28,"spillover2","fp",74,"spillover2 fp",8,0,751,751,-0.5,0.5,751
"195",1,46,"spillover2","fp",74,"spillover2 fp",6,0,509,509,-0.5,-0.5,509
"197",1,40,"spillover2","fp",74,"spillover2 fp",8,0,716,716,-0.5,0.5,716
"199",1,25,"spillover2","fp",74,"spillover2 fp",5,0,872,872,0.5,-0.5,872
"201",1,42,"spillover2","fp",74,"spillover2 fp",6,0,544,544,-0.5,-0.5,544
"203",1,37,"spillover2","fp",74,"spillover2 fp",5,0,934,934,0.5,-0.5,934
"205",1,26,"spillover2","fp",74,"spillover2 fp",6,0,639,639,-0.5,-0.5,639
"207",1,30,"spillover2","fp",74,"spillover2 fp",6,0,164,164,-0.5,-0.5,164
"209",1,32,"spillover2","fp",74,"spillover2 fp",8,0,581,581,-0.5,0.5,581
"211",1,31,"spillover2","fp",74,"spillover2 fp",7,0,644,644,0.5,0.5,644
"213",1,47,"spillover2","fp",74,"spillover2 fp",7,0,1126,1126,0.5,0.5,1126
"215",1,44,"spillover2","fp",74,"spillover2 fp",8,0,977,977,-0.5,0.5,977
"217",1,27,"spillover2","fp",74,"spillover2 fp",7,0,728,728,0.5,0.5,728
"219",1,33,"spillover2","fp",74,"spillover2 fp",5,0,697,697,0.5,-0.5,697
"221",1,45,"spillover2","fp",74,"spillover2 fp",5,0,1066,1066,0.5,-0.5,1066
"223",1,34,"spillover2","fp",74,"spillover2 fp",6,0,821,821,-0.5,-0.5,821
"225",1,35,"spillover2","fp",74,"spillover2 fp",7,0,1069,1069,0.5,0.5,1069
"227",1,29,"spillover2","fp",74,"spillover2 fp",5,0,1083,1083,0.5,-0.5,1083
"229",1,41,"spillover2","fp",74,"spillover2 fp",5,0,499,499,0.5,-0.5,499
"231",1,38,"spillover2","fp",74,"spillover2 fp",6,0,486,486,-0.5,-0.5,486
"233",1,43,"spillover2","fp",74,"spillover2 fp",7,0,368,368,0.5,0.5,368
"235",1,39,"spillover2","fp",74,"spillover2 fp",7,0,1006,1006,0.5,0.5,1006
"237",1,48,"spillover2","fp",74,"spillover2 fp",8,0,456,456,-0.5,0.5,456
"239",1,36,"spillover2","fp",74,"spillover2 fp",8,0,793,793,-0.5,0.5,793
"913",2,32,"spillover2","fp",71,"spillover2 fp",5,0,1280,1280,0.5,-0.5,1280
