"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"626",1,18,"spillover2","tt",74,"spillover2 tt",2,0,713,713,0.5,0.5,713
"628",1,15,"spillover2","tt",74,"spillover2 tt",3,0,668,668,-0.5,-0.5,668
"630",1,1,"spillover2","tt",74,"spillover2 tt",1,0,447,447,0.5,-0.5,447
"632",1,6,"spillover2","tt",74,"spillover2 tt",2,0,389,389,0.5,0.5,389
"634",1,3,"spillover2","tt",74,"spillover2 tt",3,0,461,461,-0.5,-0.5,461
"636",1,14,"spillover2","tt",74,"spillover2 tt",2,0,436,436,0.5,0.5,436
"638",1,4,"spillover2","tt",74,"spillover2 tt",4,0,956,956,-0.5,0.5,956
"640",1,17,"spillover2","tt",74,"spillover2 tt",1,0,703,703,0.5,-0.5,703
"642",1,5,"spillover2","tt",74,"spillover2 tt",1,0,372,372,0.5,-0.5,372
"644",1,13,"spillover2","tt",74,"spillover2 tt",1,0,289,289,0.5,-0.5,289
"646",1,22,"spillover2","tt",74,"spillover2 tt",2,0,658,658,0.5,0.5,658
"648",1,8,"spillover2","tt",74,"spillover2 tt",4,0,1218,1218,-0.5,0.5,1218
"650",1,9,"spillover2","tt",74,"spillover2 tt",1,0,402,402,0.5,-0.5,402
"652",1,19,"spillover2","tt",74,"spillover2 tt",3,0,1144,1144,-0.5,-0.5,1144
"654",1,24,"spillover2","tt",74,"spillover2 tt",4,0,714,714,-0.5,0.5,714
"656",1,12,"spillover2","tt",74,"spillover2 tt",4,0,1846,1846,-0.5,0.5,1846
"658",1,20,"spillover2","tt",74,"spillover2 tt",4,0,189,189,-0.5,0.5,189
"660",1,10,"spillover2","tt",74,"spillover2 tt",2,0,1962,1962,0.5,0.5,1962
"662",1,11,"spillover2","tt",74,"spillover2 tt",3,0,1391,1391,-0.5,-0.5,1391
"664",1,16,"spillover2","tt",74,"spillover2 tt",4,0,1042,1042,-0.5,0.5,1042
"666",1,7,"spillover2","tt",74,"spillover2 tt",3,0,1634,1634,-0.5,-0.5,1634
"668",1,2,"spillover2","tt",74,"spillover2 tt",2,0,1042,1042,0.5,0.5,1042
"670",1,21,"spillover2","tt",74,"spillover2 tt",1,0,825,825,0.5,-0.5,825
"672",1,23,"spillover2","tt",74,"spillover2 tt",3,0,1499,1499,-0.5,-0.5,1499
"1346",2,16,"spillover2","tt",71,"spillover2 tt",1,0,952,952,0.5,-0.5,952
"1348",2,4,"spillover2","tt",71,"spillover2 tt",1,0,583,583,0.5,-0.5,583
"1350",2,2,"spillover2","tt",71,"spillover2 tt",3,0,2060,2060,-0.5,-0.5,NA
"1352",2,13,"spillover2","tt",71,"spillover2 tt",2,0,511,511,0.5,0.5,511
"1354",2,19,"spillover2","tt",71,"spillover2 tt",4,0,756,756,-0.5,0.5,756
"1356",2,12,"spillover2","tt",71,"spillover2 tt",1,0,1307,1307,0.5,-0.5,1307
"1358",2,10,"spillover2","tt",71,"spillover2 tt",3,0,293,293,-0.5,-0.5,293
"1360",2,3,"spillover2","tt",71,"spillover2 tt",4,0,925,925,-0.5,0.5,925
"1362",2,9,"spillover2","tt",71,"spillover2 tt",2,0,334,334,0.5,0.5,334
"1364",2,21,"spillover2","tt",71,"spillover2 tt",2,0,545,545,0.5,0.5,545
"1366",2,15,"spillover2","tt",71,"spillover2 tt",4,0,476,476,-0.5,0.5,476
"1368",2,18,"spillover2","tt",71,"spillover2 tt",3,0,951,951,-0.5,-0.5,951
"1370",2,6,"spillover2","tt",71,"spillover2 tt",3,0,459,459,-0.5,-0.5,459
"1372",2,5,"spillover2","tt",71,"spillover2 tt",2,0,352,352,0.5,0.5,352
"1374",2,14,"spillover2","tt",71,"spillover2 tt",3,0,386,386,-0.5,-0.5,386
"1376",2,1,"spillover2","tt",71,"spillover2 tt",2,0,348,348,0.5,0.5,348
"1378",2,20,"spillover2","tt",71,"spillover2 tt",1,0,369,369,0.5,-0.5,369
"1380",2,11,"spillover2","tt",71,"spillover2 tt",4,0,433,433,-0.5,0.5,433
"1382",2,7,"spillover2","tt",71,"spillover2 tt",4,0,666,666,-0.5,0.5,666
"1384",2,23,"spillover2","tt",71,"spillover2 tt",4,0,662,662,-0.5,0.5,662
"1386",2,8,"spillover2","tt",71,"spillover2 tt",1,0,350,350,0.5,-0.5,350
"1388",2,17,"spillover2","tt",71,"spillover2 tt",2,0,451,451,0.5,0.5,451
"1390",2,24,"spillover2","tt",71,"spillover2 tt",1,0,262,262,0.5,-0.5,262
"1392",2,22,"spillover2","tt",71,"spillover2 tt",3,0,304,304,-0.5,-0.5,304
"2066",3,18,"spillover2","tt",72,"spillover2 tt",4,0,1881,1881,-0.5,0.5,1881
"2068",3,7,"spillover2","tt",72,"spillover2 tt",1,0,1525,1525,0.5,-0.5,1525
"2070",3,16,"spillover2","tt",72,"spillover2 tt",2,0,1482,1482,0.5,0.5,1482
"2072",3,5,"spillover2","tt",72,"spillover2 tt",3,0,1160,1160,-0.5,-0.5,1160
"2074",3,24,"spillover2","tt",72,"spillover2 tt",2,0,958,958,0.5,0.5,958
"2076",3,4,"spillover2","tt",72,"spillover2 tt",2,0,2863,2863,0.5,0.5,2863
"2078",3,14,"spillover2","tt",72,"spillover2 tt",4,0,2848,2848,-0.5,0.5,2848
"2080",3,1,"spillover2","tt",72,"spillover2 tt",3,0,999,999,-0.5,-0.5,999
"2082",3,9,"spillover2","tt",72,"spillover2 tt",3,0,1242,1242,-0.5,-0.5,1242
"2084",3,22,"spillover2","tt",72,"spillover2 tt",4,0,2794,2794,-0.5,0.5,2794
