"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1",1,28,"disamb","fp",74,"disamb fp",8,0,324,324,-0.5,0.5,324
"3",1,46,"disamb","fp",74,"disamb fp",6,0,292,292,-0.5,-0.5,292
"5",1,40,"disamb","fp",74,"disamb fp",8,0,329,329,-0.5,0.5,329
"7",1,25,"disamb","fp",74,"disamb fp",5,0,146,146,0.5,-0.5,146
"9",1,42,"disamb","fp",74,"disamb fp",6,0,282,282,-0.5,-0.5,282
"11",1,37,"disamb","fp",74,"disamb fp",5,0,323,323,0.5,-0.5,323
"13",1,26,"disamb","fp",74,"disamb fp",6,0,309,309,-0.5,-0.5,309
"15",1,30,"disamb","fp",74,"disamb fp",6,0,299,299,-0.5,-0.5,299
"17",1,32,"disamb","fp",74,"disamb fp",8,0,323,323,-0.5,0.5,323
"19",1,31,"disamb","fp",74,"disamb fp",7,1,0,NA,0.5,0.5,NA
"21",1,47,"disamb","fp",74,"disamb fp",7,0,232,232,0.5,0.5,232
"23",1,44,"disamb","fp",74,"disamb fp",8,0,686,686,-0.5,0.5,NA
"25",1,27,"disamb","fp",74,"disamb fp",7,0,317,317,0.5,0.5,317
"27",1,33,"disamb","fp",74,"disamb fp",5,0,290,290,0.5,-0.5,290
"29",1,45,"disamb","fp",74,"disamb fp",5,0,220,220,0.5,-0.5,220
"31",1,34,"disamb","fp",74,"disamb fp",6,0,179,179,-0.5,-0.5,179
"33",1,35,"disamb","fp",74,"disamb fp",7,0,190,190,0.5,0.5,190
"35",1,29,"disamb","fp",74,"disamb fp",5,0,325,325,0.5,-0.5,325
"37",1,41,"disamb","fp",74,"disamb fp",5,0,205,205,0.5,-0.5,205
"39",1,38,"disamb","fp",74,"disamb fp",6,0,310,310,-0.5,-0.5,310
"41",1,43,"disamb","fp",74,"disamb fp",7,0,364,364,0.5,0.5,364
"43",1,39,"disamb","fp",74,"disamb fp",7,0,404,404,0.5,0.5,404
"45",1,48,"disamb","fp",74,"disamb fp",8,0,211,211,-0.5,0.5,211
"47",1,36,"disamb","fp",74,"disamb fp",8,0,267,267,-0.5,0.5,267
"721",2,32,"disamb","fp",71,"disamb fp",5,0,496,496,0.5,-0.5,496
"723",2,48,"disamb","fp",71,"disamb fp",5,0,180,180,0.5,-0.5,180
"725",2,40,"disamb","fp",71,"disamb fp",5,1,0,NA,0.5,-0.5,NA
"727",2,28,"disamb","fp",71,"disamb fp",5,0,705,705,0.5,-0.5,705
"729",2,38,"disamb","fp",71,"disamb fp",7,0,640,640,0.5,0.5,640
"731",2,42,"disamb","fp",71,"disamb fp",7,0,364,364,0.5,0.5,364
"733",2,37,"disamb","fp",71,"disamb fp",6,0,273,273,-0.5,-0.5,273
"735",2,29,"disamb","fp",71,"disamb fp",6,0,203,203,-0.5,-0.5,203
"737",2,45,"disamb","fp",71,"disamb fp",6,0,383,383,-0.5,-0.5,383
"739",2,41,"disamb","fp",71,"disamb fp",6,0,433,433,-0.5,-0.5,433
"741",2,35,"disamb","fp",71,"disamb fp",8,0,507,507,-0.5,0.5,507
"743",2,44,"disamb","fp",71,"disamb fp",5,0,721,721,0.5,-0.5,721
"745",2,46,"disamb","fp",71,"disamb fp",7,1,0,NA,0.5,0.5,NA
"747",2,26,"disamb","fp",71,"disamb fp",7,0,210,210,0.5,0.5,210
"749",2,25,"disamb","fp",71,"disamb fp",6,1,0,NA,-0.5,-0.5,NA
"751",2,47,"disamb","fp",71,"disamb fp",8,0,356,356,-0.5,0.5,356
"753",2,34,"disamb","fp",71,"disamb fp",7,1,0,NA,0.5,0.5,NA
"755",2,43,"disamb","fp",71,"disamb fp",8,0,334,334,-0.5,0.5,334
"757",2,33,"disamb","fp",71,"disamb fp",6,0,424,424,-0.5,-0.5,424
"759",2,39,"disamb","fp",71,"disamb fp",8,0,870,870,-0.5,0.5,870
"761",2,30,"disamb","fp",71,"disamb fp",7,0,130,130,0.5,0.5,130
"763",2,31,"disamb","fp",71,"disamb fp",8,0,111,111,-0.5,0.5,111
"765",2,36,"disamb","fp",71,"disamb fp",5,0,674,674,0.5,-0.5,674
"767",2,27,"disamb","fp",71,"disamb fp",8,0,209,209,-0.5,0.5,209
"1441",3,36,"disamb","fp",72,"disamb fp",6,0,244,244,-0.5,-0.5,244
"1443",3,27,"disamb","fp",72,"disamb fp",5,0,239,239,0.5,-0.5,239
"1445",3,37,"disamb","fp",72,"disamb fp",7,0,663,663,0.5,0.5,663
"1447",3,41,"disamb","fp",72,"disamb fp",7,0,335,335,0.5,0.5,335
"1449",3,26,"disamb","fp",72,"disamb fp",8,0,288,288,-0.5,0.5,288
"1451",3,45,"disamb","fp",72,"disamb fp",7,0,489,489,0.5,0.5,489
"1453",3,42,"disamb","fp",72,"disamb fp",8,0,706,706,-0.5,0.5,706
"1455",3,47,"disamb","fp",72,"disamb fp",5,0,738,738,0.5,-0.5,738
"1457",3,29,"disamb","fp",72,"disamb fp",7,0,906,906,0.5,0.5,906
"1459",3,34,"disamb","fp",72,"disamb fp",8,0,555,555,-0.5,0.5,555
"1461",3,39,"disamb","fp",72,"disamb fp",5,0,412,412,0.5,-0.5,412
"1463",3,48,"disamb","fp",72,"disamb fp",6,0,417,417,-0.5,-0.5,417
"1465",3,44,"disamb","fp",72,"disamb fp",6,0,328,328,-0.5,-0.5,328
"1467",3,43,"disamb","fp",72,"disamb fp",5,0,360,360,0.5,-0.5,360
"1469",3,28,"disamb","fp",72,"disamb fp",6,0,274,274,-0.5,-0.5,274
"1471",3,40,"disamb","fp",72,"disamb fp",6,0,478,478,-0.5,-0.5,478
"1473",3,30,"disamb","fp",72,"disamb fp",8,0,312,312,-0.5,0.5,312
"1475",3,32,"disamb","fp",72,"disamb fp",6,0,652,652,-0.5,-0.5,652
"1477",3,25,"disamb","fp",72,"disamb fp",7,1,0,NA,0.5,0.5,NA
"1479",3,38,"disamb","fp",72,"disamb fp",8,0,238,238,-0.5,0.5,238
"1481",3,33,"disamb","fp",72,"disamb fp",7,0,445,445,0.5,0.5,445
"1483",3,31,"disamb","fp",72,"disamb fp",5,0,291,291,0.5,-0.5,291
"1485",3,46,"disamb","fp",72,"disamb fp",8,0,380,380,-0.5,0.5,380
"1487",3,35,"disamb","fp",72,"disamb fp",5,0,261,261,0.5,-0.5,261
"2161",4,28,"disamb","fp",66,"disamb fp",7,0,486,486,0.5,0.5,486
"2163",4,31,"disamb","fp",66,"disamb fp",6,0,477,477,-0.5,-0.5,477
"2165",4,44,"disamb","fp",66,"disamb fp",7,0,1384,1384,0.5,0.5,1384
"2167",4,26,"disamb","fp",66,"disamb fp",5,0,686,686,0.5,-0.5,686
"2169",4,37,"disamb","fp",66,"disamb fp",8,0,653,653,-0.5,0.5,653
"2171",4,32,"disamb","fp",66,"disamb fp",7,0,476,476,0.5,0.5,476
"2173",4,36,"disamb","fp",66,"disamb fp",7,0,690,690,0.5,0.5,690
"2175",4,38,"disamb","fp",66,"disamb fp",5,0,1002,1002,0.5,-0.5,1002
"2177",4,46,"disamb","fp",66,"disamb fp",5,0,293,293,0.5,-0.5,293
"2178",4,29,"disamb","fp",66,"disamb fp",8,0,482,482,-0.5,0.5,482
"2180",4,43,"disamb","fp",66,"disamb fp",6,0,418,418,-0.5,-0.5,418
"2182",4,33,"disamb","fp",66,"disamb fp",8,0,957,957,-0.5,0.5,957
"2184",4,45,"disamb","fp",66,"disamb fp",8,0,636,636,-0.5,0.5,636
"2186",4,30,"disamb","fp",66,"disamb fp",5,0,244,244,0.5,-0.5,244
"2187",4,40,"disamb","fp",66,"disamb fp",7,0,331,331,0.5,0.5,331
"2189",4,41,"disamb","fp",66,"disamb fp",8,0,942,942,-0.5,0.5,942
"2191",4,48,"disamb","fp",66,"disamb fp",7,0,183,183,0.5,0.5,183
"2193",4,42,"disamb","fp",66,"disamb fp",5,0,493,493,0.5,-0.5,493
"2194",4,25,"disamb","fp",66,"disamb fp",8,0,346,346,-0.5,0.5,346
"2196",4,27,"disamb","fp",66,"disamb fp",6,0,888,888,-0.5,-0.5,888
"2198",4,47,"disamb","fp",66,"disamb fp",6,0,154,154,-0.5,-0.5,154
"2200",4,39,"disamb","fp",66,"disamb fp",6,0,594,594,-0.5,-0.5,594
"2202",4,34,"disamb","fp",66,"disamb fp",5,0,460,460,0.5,-0.5,460
"2203",4,35,"disamb","fp",66,"disamb fp",6,0,795,795,-0.5,-0.5,795
"2822",5,42,"disamb","fp",71,"disamb fp",6,0,407,407,-0.5,-0.5,407
"2824",5,47,"disamb","fp",71,"disamb fp",7,0,284,284,0.5,0.5,284
"2826",5,25,"disamb","fp",71,"disamb fp",5,0,384,384,0.5,-0.5,384
"2828",5,43,"disamb","fp",71,"disamb fp",7,0,906,906,0.5,0.5,906
"2830",5,33,"disamb","fp",71,"disamb fp",5,0,366,366,0.5,-0.5,366
"2832",5,41,"disamb","fp",71,"disamb fp",5,0,478,478,0.5,-0.5,478
"2834",5,29,"disamb","fp",71,"disamb fp",5,0,481,481,0.5,-0.5,481
